 [19ms] 	philo 113 has taken right fork
 [19ms] 	philo 113 is eating 
 [20ms] 	philo 115 has taken left fork
 [20ms] 	philo 115 has taken right fork
 [20ms] 	philo 115 is eating 
 [20ms] 	philo 117 has taken left fork
 [20ms] 	philo 117 has taken right fork
 [20ms] 	philo 117 is eating 
 [20ms] 	philo 119 has taken left fork
 [21ms] 	philo 119 has taken right fork
 [21ms] 	philo 119 is eating 
 [21ms] 	philo 121 has taken left fork
 [21ms] 	philo 121 has taken right fork
 [21ms] 	philo 121 is eating 
 [21ms] 	philo 123 has taken left fork
 [21ms] 	philo 123 has taken right fork
 [21ms] 	philo 123 is eating 
 [22ms] 	philo 124 is sleaping
 [22ms] 	philo 127 has taken left fork
 [22ms] 	philo 127 has taken right fork
 [22ms] 	philo 127 is eating 
 [22ms] 	philo 129 has taken left fork
 [22ms] 	philo 129 has taken right fork
 [22ms] 	philo 129 is eating 
 [23ms] 	philo 131 has taken left fork
 [23ms] 	philo 131 has taken right fork
 [23ms] 	philo 131 is eating 
 [24ms] 	philo 135 has taken left fork
 [24ms] 	philo 135 has taken right fork
 [24ms] 	philo 135 is eating 
 [24ms] 	philo 137 has taken left fork
 [25ms] 	philo 138 is sleaping
 [25ms] 	philo 137 has taken right fork
 [25ms] 	philo 137 is eating 
 [25ms] 	philo 140 is sleaping
 [25ms] 	philo 141 has taken left fork
 [25ms] 	philo 141 has taken right fork
 [26ms] 	philo 141 is eating 
 [26ms] 	philo 143 has taken left fork
 [26ms] 	philo 143 has taken right fork
 [26ms] 	philo 143 is eating 
 [26ms] 	philo 145 has taken left fork
 [26ms] 	philo 145 has taken right fork
 [26ms] 	philo 145 is eating 
 [26ms] 	philo 148 is sleaping
 [27ms] 	philo 149 has taken left fork
 [27ms] 	philo 149 has taken right fork
 [27ms] 	philo 149 is eating 
 [29ms] 	philo 133 has taken left fork
 [29ms] 	philo 139 has taken left fork
 [30ms] 	philo 139 has taken right fork
 [30ms] 	philo 139 is eating 
 [30ms] 	philo 106 is sleaping
 [30ms] 	philo 147 has taken left fork
 [31ms] 	philo 147 has taken right fork
 [31ms] 	philo 147 is eating 
 [31ms] 	philo 107 has taken left fork
 [32ms] 	philo 107 has taken right fork
 [32ms] 	philo 107 is eating 
 [32ms] 	philo 125 has taken left fork
 [32ms] 	philo 105 has taken left fork
 [32ms] 	philo 105 has taken right fork
 [32ms] 	philo 105 is eating 

